name,team,battingStyle,bowlingStyle,playingRole,description
Arjun Mutreja,Singapore,Right hand Bat,Right arm Offbreak,,
Hardik Pandya(c),India,Right hand Bat,Right arm Medium fast,Allrounder,
Wessly Madhevere,Zimbabwe,Right hand Bat,Right arm Offbreak,Allrounder,
Craig Young,Ireland,Right hand Bat,Right arm Fast medium,Bowler,"One of a number of players to emerge out of Ireland's robust Under-19 squads from the early 2010s, Craig Young became the ninth bowler to take a five-for on men's ODI debut when he demolished Scotland in Malahide in September 2014. It was a well-timed performance for Young, considering he had just lost his county contract with Sussex and parlayed that into a Cricket Ireland central contract. "
Haris Rauf,,Right hand Bat,Right arm Fast,Bowler,
Manan Ali,Saudi Arabia,Right hand Bat,Right arm Offbreak,,
Nikhil Advani,Gibraltar,Right hand Bat,Right arm Offbreak,,
Osama Mahmood,Switzerland,Left hand Bat,Right arm Medium fast,,
Imad Wasim,,Left hand Bat,Slow Left arm Orthodox,Allrounder,"Imad Wasim had been set to study medicine but the offer to play for the Pakistan Under-19 made him change his mind and since then there has been no looking back. Like many aspiring players from his country, he wanted to emulate Wasim Akram but he didn't have the pace his coaches were looking for. Still, the switch to left-arm spin has worked for him. A capable middle-order batsman as well, he was part of the Pakistan side that won the Youth World Cup in 2006, before captaining them in the next edition. "
Mancoba Jele,Eswatini,Right hand Bat,Right arm Medium fast,,
Umair Tariq,,Right hand Bat,Right arm Medium,,
Ryan Burl,Zimbabwe,Left hand Bat,Legbreak,Allrounder,"Ryan Burl liked playing squash when he was at school, but his love of cricket - specifically, the team game's camaraderie - made him want to be an international cricketer. A left-hand lower-middle-order batter and occasional legspinner, Burl broke into the Zimbabwe side in 2017, and has also played in the BPL and Afghanistan's Shpageeza Cricket League."
Mohammad Ghazanfar,Hong Kong,Right hand Bat,Legbreak,Bowler,
Demar Johnson,Cayman Islands,Right hand Bat,Right arm Medium,,
Atif Mehmood,Spain,Right hand Bat,Left arm Medium fast,,
Syed Aqeel Israr,Ghana,Right hand Bat,Right arm Medium,,
Ridwan Abdulkareem,Nigeria,Right hand Bat,Right arm Offbreak,,
Ibrahim Jabarkhel,France,Right hand Bat,Right arm Offbreak,,
Andy Balbirnie,Ireland,Right hand Bat,Right arm Offbreak,Batter,"Already one of Ireland's star batters at No. 3, Andrew Balbirnie flourished with the bat even more after he was made captain across formats late in 2019. Although not a power-hitter, Balbirnie is fluent, keeps the score ticking, and is excellent against spin bowling - his hard sweep is a signature shot."
Zaker Taqawi,Sweden,Left hand Bat,,,
Karabo Motlhanka(c),Botswana,Left hand Bat,,,
James Fitzgerald,Gibraltar,Right hand Bat,Right arm Medium fast,,
Shubman Gill,India,Right hand Bat,Right arm Offbreak,Opening Batter,
Taranjit Bharaj(c),Denmark,Right hand Bat,Right arm Offbreak,,
Prashant Shukla,Sweden,Right hand Bat,Legbreak,,
Saad Bin Zafar(c),Canada,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Kabir Mirpuri,Gibraltar,Right hand Bat,Right arm Offbreak,,
Ibrahim Hassan,Maldives,Right hand Bat,Right arm Medium,,
Zubaidi Zulkifle,Malaysia,Right hand Bat,Right arm Medium,Batter,
Syazrul Idrus,Malaysia,Right hand Bat,Right arm Medium,Bowler,
Kassim Nassoro,Tanzania,Right hand Bat,Right arm Offbreak,,
Vikram Vijh,Luxembourg,Left hand Bat,Right arm Medium fast,,
Umar Adam,Maldives,Right hand Bat,Right arm Offbreak,,
Padmakar Surve,Indonesia,Right hand Bat,,,
Henry Tyler,Philippines,Right hand Bat,,,
Hernan Fennell(c),Argentina,Right hand Bat,Right arm Medium,,
Laxman Gaonkar(c) ,Panama,Right hand Bat,,,
Kaleem Sana,Canada,Right hand Bat,Left arm Medium fast,Bowler,"Like a fair number of team-mates in the Under-19 World Cup in New Zealand, Kaleem Sana has had first-class experience. He made his debut for Pakistan Customs in 2009 and has played two games, grabbing three wickets.
Cricinfo Staff, January 2010"
Fionn Hand,Ireland,Right hand Bat,Right arm Medium,Bowling Allrounder,
Rachin Ravindra,New Zealand,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder,
Ahmad Ramdoni ,Indonesia,Right hand Bat,,,
Rahmanullah Gurbaz,Afghanistan,Right hand Bat,,Wicketkeeper Batter,
Nikhil Dutta,Canada,Right hand Bat,Right arm Offbreak,Bowler,
Sesan Adedeji,Nigeria,Right hand Bat,Right arm Offbreak,,
Bradley Currie,Scotland,Right hand Bat,Left arm Fast medium,,"Left-arm seamer Brad Currie made a dream start to his trial with Sussex in mid-2022, taking a six-wicket haul on first-class debut at Lord's. Former England opener Mark Stoneman was his maiden victim during a spell of 4 for 16, as Currie proved he was ready for the step up at the age of 23, having spent several years playing National Counties cricket for Dorset. He made his List A debut the following month, taking 12 wickets in eight matches as Sussex reached the semi-finals of the Royal London Cup, and was subsequently awarded a full-time contract with the club."
Valentine Mbazo ,Botswana,Right hand Bat,,,
Ali Masood,Estonia,Right hand Bat,Right arm Medium,Batting Allrounder,
Kenroy Nestor,Gibraltar,Right hand Bat,Right arm Fast,,
Amal Rajeevan ,Tanzania,Right hand Bat,,,
Matt Henry,New Zealand,Right hand Bat,Right arm Fast medium,Bowler,"A slippery fast bowler, Matt Henry almost didn't play for New Zealand, as he underwent a major back surgery in 2012. Two years later, though, he was called up as cover during the ODI series against India, and thanks to a niggle to fellow injury-prone Hamish Bennett, Henry put the black cap on and registered the third-best figures for a New Zealand debutant in ODIs, claiming four wickets to seal New Zealand's 4-0 series triumph."
Jay Ahir,Panama,Right hand Bat,Right arm Offbreak,,
Wedage Malinda,Maldives,Left hand Bat,Right arm Medium,,
Akbar Khan,Hong Kong,Right hand Bat,Right arm Medium fast,,
Vinoo Balakrishnan,Botswana,Right hand Bat,Right arm Offbreak,,
Arashdeep Samra,Philippines,Left hand Bat,Slow Left arm Orthodox,,
Ally Kimote,Tanzania,Right hand Bat,Right arm Medium,,
Khanitson Namchaikul,Thailand,Right hand Bat,Legbreak,,
Vasu Saini,Romania,Right hand Bat,Right arm Medium,,
Eric Kubwimana,Rwanda,Right hand Bat,Right arm Medium fast,,
Mahmud Jasat,Panama,Left hand Bat,Right arm Medium,Middle order Batter,
Jigyasu Pant,Luxembourg,Right hand Bat,Right arm Medium,,
Surya Anand,Denmark,Right hand Bat,Right arm Medium,,
Zawar Farid,United Arab Emirates,Right hand Bat,Right arm Medium,Bowler,
Kuldeep Yadav,India,Left hand Bat,Left arm Wrist spin,Bowler,
Vanraaj Padhaal,Finland,Right hand Bat,Right arm Offbreak,,
Jason Holder,West Indies,Right hand Bat,Right arm Medium fast,Bowling Allrounder,"Jason Holder was seen as a future talent until a selection panel headed by former World Cup-winner Clive Lloyd appointed him West Indies' ODI captain in 2014. Holder was only 23 at the time, and was still making his way as a fast bowler and a lower-middle order batsman. Less than a year later, he took over the Test team too, indicating how much the WICB and men in the know - ranging from Viv Richards to Brian Lara to Tony Cozier - believed in this man, who comes across as remarkably level-headed and mature for someone so young. "
Tomas Rossi,Argentina,Right hand Bat,Right arm Medium fast,,
Dhruvkumar Maisuria,Botswana,Right hand Bat,Legbreak Googly,,
Nicholas Pooran ,West Indies,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter,
Dave Robson,Estonia,Left hand Bat,Left arm Medium,,
Andrew Reyes,Gibraltar,Right hand Bat,Right arm Medium,,
Ravi Bishnoi,India,Right hand Bat,Legbreak Googly,Bowler,
Abdul Naser Baluch,Sweden,Right hand Bat,Left arm Medium,,
Roger Mukasa,Uganda,Right hand Bat,Right arm Offbreak,,
Abdullah Akbarjan,Austria,Left hand Bat,Slow Left arm Orthodox,,
Chiemelie Udekwe,Nigeria,Right hand Bat,Right arm Medium fast,,
Manish Sharma(c),Cambodia,Right hand Bat,Right arm Offbreak,,
Khalid Zahid,Sweden,Right hand Bat,Right arm Medium,Bowler,
Ollie Hairs,Scotland,Left hand Bat,Right arm Offbreak,Opening Batter,
Lautaro Musiani,Argentina,Right hand Bat,Legbreak,,
Shahzeb Choudhry,Sweden,,,,
Michael Aboagye,Ghana,Right hand Bat,Legbreak,Allrounder,
Aqib Iqbal,,Right hand Bat,Right arm Medium,,
Yodsak Saranonnakkun,Thailand,Right hand Bat,,,
Luke Jongwe,Zimbabwe,Right hand Bat,Right arm Fast medium,Allrounder,
Curtis Campher,Ireland,Right hand Bat,Right arm Medium fast,Allrounder,"Born in Johannesburg, raised in South Africa and a player for the national Under-19 side, Curtis Campher decided to leave his homeland behind and put his Irish passport to good use in early 2020, declaring his intentions to move to Ireland and play for the national team. He went on the Ireland Wolves' tour to Namibia early that year, and impressed sufficiently to win a place in the squad for a three-match ODI series in England in July."
Ketut Pastika,Indonesia,Right hand Bat,,,
Stephen Doheny ,Ireland,Right hand Bat,,Opening Batter,
Clinton Rubagumya(c),Rwanda,Right hand Bat,Right arm Medium,,
Ben White,Ireland,Right hand Bat,Legbreak,Bowler,"Ben White was handed his T20I debut during Ireland's 2021 home summer and was picked in their squad for the T20 World Cup later that year. A tall legspinner who bowls quickly and fires the ball in flat, White was viewed as a potential long-term option to fill Ireland's wristspin void.ESPNcricinfo staff"
Wilson Niyitanga,Rwanda,Right hand Bat,,,
Leem Shafeeg,Maldives,Right hand Bat,Right arm Medium,,
Shafat Ali Syed,Spain,Left hand Bat,Left arm Medium,,
Mohammad Haris,Pakistan,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,
Jeremy Gordon,Canada,Right hand Bat,Right arm Fast medium,Bowler,
Aahan Gopinath Achar,Singapore,Left hand Bat,Slow Left arm Orthodox,Bowler,
Jordan OBrien,Finland,Right hand Bat,Right arm Offbreak,,
Kevin Irakoze,Rwanda,Right hand Bat,Right arm Offbreak,,
Satarut Rungrueang,Thailand,Right hand Bat,,,
Christian Webster,Isle of Man,Right hand Bat,Right arm Offbreak,,
Ali Nayyer,Switzerland,,,Bowler,
Emile Rukiriza,Rwanda,Right hand Bat,Right arm Offbreak,,
Matthew Whelan,Gibraltar,Right hand Bat,Right arm Offbreak,,
Daniel Ajekun,Nigeria,Right hand Bat,Right arm Offbreak,Opening Batter,
Dominic Blampied,Jersey,Right hand Bat,Legbreak,,
Michael Leask,Scotland,Right hand Bat,Right arm Offbreak,Allrounder,"Michael Leask is an explosive batsman from Aberdeen. He showed as much when he smeared five sixes during a memorable 16-ball 42 in an ODI against England in May 2014. But he has been hampered by inconsistency, and he only mustered 56 runs at an average of 9.33 during the World Cup Qualifiers in 2014. Leask also bowls useful off-spin, taking three wickets in Scotland's win over Tasmania in their World Cup acclimatisation tour in autumn 2014.
Leask played a solitary first-class game for Northants in a tour match against New Zealand A in 2014. He moved on to Somerset ahead of the 2016 season with Somerset's director of cricket Matt Maynard describing him as a ""feisty cricketer"". A scattering of T20 matches were his only outings in his debut season.

ESPNcricinfo staff"
Craig Ervine(c),Zimbabwe,Left hand Bat,Right arm Offbreak,Middle order Batter,"Few people in Zimbabwe cricket circles were surprised when Craig Ervine found his way into Zimbabwe colours. A stylish left-handed middle-order batsman, Ervine hails from a family with a strong cricketing tradition - his father and uncle both played first-class cricket, albeit briefly, in the late 1970s, his older brother Sean had a promising fledgling international career with Zimbabwe before heading to England to become a reliable cog in Hampshire's middle order, and even younger brother Ryan has turned out for the Southern Rocks franchise on occasion."
Ameel Mauroof,Maldives,Left hand Bat,Left arm Fast medium,,
Choudry Share Ali,Sweden,Right hand Bat,Right arm Offbreak,,
Bilal Hassan,Uganda,Right hand Bat,Right arm Medium fast,Bowler,
Rovman Powell,West Indies,Right hand Bat,Right arm Medium fast,Middle order Batter,"A middle-order batter who bowls occasional medium pace, Rovman Powell has been a semi-regular presence in West Indies' white-ball squads from the mid-2010s without quite nailing down a spot. "
Bilal Masud,Estonia,Right hand Bat,Right arm Medium,,
Paul Manning,Cayman Islands,Right hand Bat,Right arm Offbreak,Batting Allrounder,
Daryl Mitchell,New Zealand,Right hand Bat,Right arm Medium,Batting Allrounder,"Daryl Mitchell was called into New Zealand's Test team in late 2019 as a replacement for the injured Colin de Grandhomme. He impressed, too, making an assured 73 against England in his first innings and bowling with good control on a sluggish surface at his home ground, Hamilton. He had made his international debut against India in a T20I in February of that year."
Rahmatullah Mangal,France,Right hand Bat,Right arm Medium fast,,
Wynand Boshoff ,Sweden,Right hand Bat,,,
Chad Bowes,New Zealand,Right hand Bat,Right arm Medium,Top order Batter,
Akhil Anil,Tanzania,Left hand Bat,Right arm Offbreak,,
Shahzeb Choudhry(c),Sweden,,,,
Josh Lawrenson,Jersey,Right hand Bat,Right arm Offbreak,,
Varun Thamotharam(c),Malta,Left hand Bat,Left arm Medium fast,,
Shaheen Shah Afridi,,Left hand Bat,Left arm Fast,Bowler,"A baby face perched on a two-metre body, Shaheen Afridi's story is trademark Pakistani. An 18-year old already comfortable in the green shirt of the national side, he's been on the radar of the national selectors for almost three years. In a more intimate circle, he was destined for great achievements well before his teenage years, with an international cricketer for an elder brother."
Washington Sundar,,Left hand Bat,Right arm Offbreak,Bowling Allrounder,"Like R Ashwin from Tamil Nadu before him, Washington Sundar went from being a batsman as a youngster to making his name as an offspinner. After representing India at the 2016 Under-19 World Cup, he replaced Ashwin at Rising Pune Supergiant in the 2017 IPL, and bowled at an impressive economy rate to help his side to the final."
Blair Tickner,New Zealand,Right hand Bat,Right arm Medium fast,Bowler,
Aaron Johnson,Canada,Right hand Bat,Right arm Offbreak,Batter,
Navin Wijesekera,Austria,Left hand Bat,Right arm Medium,,
Nicholas Kirton,Canada,Left hand Bat,,Batting Allrounder,
Tendai Chatara,Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler,"The first thing one notices when watching Tendai Chatara bowl is his curiously lopsided action, his left arm almost glued to his side as he rushes through the crease. But at the other end of that action there have been wickets - and lots of them. A tall, wiry fast bowler with appreciable pace and the ability to move the ball away from the right hander, Chatara has risen quickly to prominence since his first-class debut for Mountaineers in 2009. Naturally athletic, he had represented his home province of Manicaland in 200 and 400 metre events while in high school and soon found his calling in cricket."
